"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"y_rep[2,2]",0.100662898138023,0.000506156635983067,0.0327519396048249,0.0374249614739692,0.0777894882151575,0.100511558243046,0.123274414984316,0.163884685046697,4187.01174213676,0.999650257599834
"y_rep[2,3]",0.112918839948685,0.000549746079927869,0.0328351045112056,0.0468891230483809,0.0906487039045495,0.113263465664701,0.134710599161697,0.175675556583019,3567.40587704213,1.00001249477906
"y_rep[2,4]",0.134263216742166,0.000521272701902669,0.0327907005381423,0.0715919165049752,0.112207422278051,0.134186297990173,0.15639542133796,0.197972874596534,3957.04897471502,1.00125508136985
"y_rep[2,5]",0.161007905575763,0.000543767616382929,0.0334170214570044,0.0955042635300967,0.138838745827969,0.160738156613081,0.184350425534643,0.224278820277562,3776.66788359104,1.00038672076024
"y_rep[2,6]",0.179614169410814,0.000524914013733554,0.0333491035752528,0.114088996557847,0.15701726340356,0.179971563506051,0.202709350762607,0.243139960080527,4036.37952397241,1.00053799075627
"y_rep[2,7]",0.210906916528513,0.00053272301765935,0.0331049389380996,0.146292802150451,0.188416687672884,0.211110025808529,0.232855140984113,0.277691836882801,3861.73668977835,0.999864942994444
"y_rep[2,8]",0.234872671759745,0.000524514106253028,0.0334442240125154,0.169234385802394,0.212544583049834,0.234864509631224,0.257389640172607,0.301356461383197,4065.63046739659,0.999398877082278
"y_rep[2,9]",0.261141903803652,0.000528721793676448,0.0332431011622751,0.196731972073111,0.239047635659847,0.261653060506628,0.28307955837575,0.326828637097013,3953.19864657541,0.999546986367291
"y_rep[2,10]",0.287890170145643,0.000536836754408176,0.0336521478237533,0.223697023128786,0.265643448974973,0.288032731999867,0.310074213131124,0.354078323810481,3929.5343710844,0.999807377252121
"y_rep[2,11]",0.316262623539548,0.000535316421957482,0.0336761984828904,0.248402298344792,0.294236655015154,0.316566673951792,0.338791581071922,0.382859505001129,3957.53703830728,1.00023043158177
"y_rep[2,12]",0.348373975476015,0.000537816798461737,0.0338543215535684,0.2821663037288,0.32531344771511,0.348931640238083,0.371631426377618,0.413215500830385,3962.41084467696,0.999904935876987
"y_rep[2,13]",0.379068714452825,0.000523651402691715,0.0340519417528507,0.311761210835078,0.35581361217987,0.379235294767641,0.402517192012303,0.44368929063473,4228.62546956383,1.00028916257465
"y_rep[2,14]",0.413435787467962,0.000536965280276625,0.0341896272563361,0.348001343110615,0.39016938148767,0.412918963801673,0.436492511499031,0.480567817697104,4054.11740150504,0.999909577318937
"y_rep[2,15]",0.447929238396807,0.000569579733704357,0.0339459506888472,0.379957916731596,0.425694285990593,0.448040124122083,0.47128872464896,0.514245055431291,3551.95042463742,1.00088499630828
